ticker,signal_date,fwd_60d,baseline_mean,baseline_std,yoy,year
1101,2018-02-01,13.852248118130394,-0.13687398598133574,8.789862237032613,56.847857109074695,2018
1101,2018-05-01,13.198951722167497,-0.13687398598133574,8.789862237032613,31.69405618173777,2018
1101,2018-06-01,8.299526369431852,-0.13687398598133574,8.789862237032613,36.00398914229197,2018
1101,2018-07-01,9.67560870198736,-0.13687398598133574,8.789862237032613,36.89041859911137,2018
1101,2018-08-01,-16.50244295846166,-0.13687398598133574,8.789862237032613,37.081293976547826,2018
1101,2018-09-01,-17.654171884690896,-0.13687398598133574,8.789862237032613,54.00244425174383,2018
1101,2018-11-01,1.7832564436097043,-0.13687398598133574,8.789862237032613,40.13078695244678,2018
1101,2023-03-01,0.0,-0.13687398598133574,8.789862237032613,33.90722036455558,2023
1101,2024-06-01,2.855967867436404,-0.13687398598133574,8.789862237032613,44.4366878138192,2024
1101,2024-07-01,-1.1869465538615454,-0.13687398598133574,8.789862237032613,54.93845414116363,2024
1101,2024-08-01,-6.413993140830376,-0.13687398598133574,8.789862237032613,61.16321262099509,2024
1101,2024-09-01,1.6793874269785736,-0.13687398598133574,8.789862237032613,38.648782524440776,2024
1101,2024-10-01,-6.213015460061366,-0.13687398598133574,8.789862237032613,52.54733257799489,2024
1101,2024-11-01,-2.9275819389498525,-0.13687398598133574,8.789862237032613,73.6289801281426,2024
1101,2024-12-01,3.6036007063244613,-0.13687398598133574,8.789862237032613,87.80802213838793,2024
1101,2025-01-01,-2.6898737255588667,-0.13687398598133574,8.789862237032613,73.88386782942555,2025
1101,2025-02-01,-5.66928676454973,-0.13687398598133574,8.789862237032613,68.74092454610641,2025
1101,2025-03-01,-16.142852059421287,-0.13687398598133574,8.789862237032613,90.12891519388752,2025
1102,2018-02-01,15.084750511419752,2.3633848179076584,9.036695820057448,62.656764685389454,2018
1102,2018-05-01,30.26522388620836,2.3633848179076584,9.036695820057448,37.74197368436181,2018
1102,2018-06-01,29.43721786297353,2.3633848179076584,9.036695820057448,34.07893767448569,2018
1102,2018-07-01,20.84107316987167,2.3633848179076584,9.036695820057448,41.61131266175266,2018
1102,2018-08-01,-22.963803502809643,2.3633848179076584,9.036695820057448,33.683926331869095,2018
